,Trap,Date,Species,TotalMosquitos,Address,Block,Street,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,dist_to_spray,dist_to_ord,dist_to_mdw,station_name,Station,Tmax,Tmin,Tavg,WetBulb,PrecipTotal,ResultSpeed,AvgSpeed
0,T001,2007-06-26,CULEX PIPIENS/RESTUANS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,92,70,81,72,0.16,6.1,7.1
1,T001,2007-07-11,CULEX PIPIENS/RESTUANS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,77,62,70,59,0.0,8.8,10.9
2,T001,2007-07-18,CULEX PIPIENS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,85,69,77,71,1.55,9.1,10.1
3,T001,2007-08-01,CULEX PIPIENS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,92,69,81,69,0.0,3.5,4.1
4,T001,2007-08-01,CULEX PIPIENS/RESTUANS,3,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,92,69,81,69,0.0,3.5,4.1
6,T001,2007-08-07,CULEX PIPIENS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,91,72,82,76,1.31,6.2,9.0
7,T001,2007-08-07,CULEX PIPIENS/RESTUANS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,91,72,82,76,1.31,6.2,9.0
8,T001,2007-08-15,CULEX PIPIENS,5,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,5,0,,10.639040259,11.611650052,ORD,1,80,71,76,70,0.23,3.4,5.8
9,T001,2007-08-15,CULEX PIPIENS/RESTUANS,5,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,5,0,,10.639040259,11.611650052,ORD,1,80,71,76,70,0.23,3.4,5.8
10,T001,2007-08-21,CULEX PIPIENS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,87,69,78,72,0.0,3.8,6.0
